run_id,experiment_id,scheme,dataset_id,topology_id,budget,manifest_size,seed,git_commit,promotion_reason,promoted_at
exp_staleness_v1__hiroute__smartcity_v1__rf_3967_exodus__seed1__20260313_084545,exp_staleness_v1,hiroute,smartcity_v1,rf_3967_exodus,,,1,2afc84e,meets min run count and artifact completeness,2026-03-13T08:53:58Z
exp_staleness_v1__hiroute__smartcity_v1__rf_3967_exodus__seed2__20260313_084629,exp_staleness_v1,hiroute,smartcity_v1,rf_3967_exodus,,,2,2afc84e,meets min run count and artifact completeness,2026-03-13T08:53:58Z
exp_staleness_v1__hiroute__smartcity_v1__rf_3967_exodus__seed3__20260313_084713,exp_staleness_v1,hiroute,smartcity_v1,rf_3967_exodus,,,3,2afc84e,meets min run count and artifact completeness,2026-03-13T08:53:58Z
exp_failures_v1__hiroute__smartcity_v1__rf_3967_exodus__link__seed1__20260313_084814,exp_failures_v1,hiroute,smartcity_v1,rf_3967_exodus,,,1,2afc84e,meets min run count and artifact completeness,2026-03-13T08:54:17Z
exp_failures_v1__hiroute__smartcity_v1__rf_3967_exodus__link__seed2__20260313_084858,exp_failures_v1,hiroute,smartcity_v1,rf_3967_exodus,,,2,2afc84e,meets min run count and artifact completeness,2026-03-13T08:54:17Z
exp_failures_v1__hiroute__smartcity_v1__rf_3967_exodus__link__seed3__20260313_084942,exp_failures_v1,hiroute,smartcity_v1,rf_3967_exodus,,,3,2afc84e,meets min run count and artifact completeness,2026-03-13T08:54:17Z
exp_failures_v1__hiroute__smartcity_v1__rf_3967_exodus__domain__seed1__20260313_085025,exp_failures_v1,hiroute,smartcity_v1,rf_3967_exodus,,,1,2afc84e,meets min run count and artifact completeness,2026-03-13T08:54:17Z
exp_failures_v1__hiroute__smartcity_v1__rf_3967_exodus__domain__seed2__20260313_085110,exp_failures_v1,hiroute,smartcity_v1,rf_3967_exodus,,,2,2afc84e,meets min run count and artifact completeness,2026-03-13T08:54:17Z
exp_failures_v1__hiroute__smartcity_v1__rf_3967_exodus__domain__seed3__20260313_085154,exp_failures_v1,hiroute,smartcity_v1,rf_3967_exodus,,,3,2afc84e,meets min run count and artifact completeness,2026-03-13T08:54:17Z
exp_scaling_v1__hiroute__smartcity_v1__rf_3967_exodus__seed1__20260313_084457,exp_scaling_v1,hiroute,smartcity_v1,rf_3967_exodus,,,1,2afc84e,meets min run count and artifact completeness,2026-03-13T09:00:24Z
exp_scaling_v1__hiroute__smartcity_v1__rf_3967_exodus__seed2__20260313_084500,exp_scaling_v1,hiroute,smartcity_v1,rf_3967_exodus,,,2,2afc84e,meets min run count and artifact completeness,2026-03-13T09:00:24Z
exp_scaling_v1__hiroute__smartcity_v1__rf_3967_exodus__seed3__20260313_084502,exp_scaling_v1,hiroute,smartcity_v1,rf_3967_exodus,,,3,2afc84e,meets min run count and artifact completeness,2026-03-13T09:00:24Z
exp_scaling_v1__hiroute__smartcity_v1__rf_1239_sprint__seed1__20260313_084504,exp_scaling_v1,hiroute,smartcity_v1,rf_1239_sprint,,,1,2afc84e,meets min run count and artifact completeness,2026-03-13T09:00:24Z
exp_scaling_v1__hiroute__smartcity_v1__rf_1239_sprint__seed2__20260313_084509,exp_scaling_v1,hiroute,smartcity_v1,rf_1239_sprint,,,2,2afc84e,meets min run count and artifact completeness,2026-03-13T09:00:24Z
exp_scaling_v1__hiroute__smartcity_v1__rf_1239_sprint__seed3__20260313_084514,exp_scaling_v1,hiroute,smartcity_v1,rf_1239_sprint,,,3,2afc84e,meets min run count and artifact completeness,2026-03-13T09:00:24Z
exp_main_v1__exact__smartcity_v1__rf_3967_exodus__seed1__20260313_120501,exp_main_v1,exact,smartcity_v1,rf_3967_exodus,,,1,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__oracle__smartcity_v1__rf_3967_exodus__seed1__20260313_121001,exp_main_v1,oracle,smartcity_v1,rf_3967_exodus,,,1,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__hiroute__smartcity_v1__rf_3967_exodus__seed1__20260313_122501,exp_main_v1,hiroute,smartcity_v1,rf_3967_exodus,,,1,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__flood__smartcity_v1__rf_3967_exodus__seed1__20260313_121501,exp_main_v1,flood,smartcity_v1,rf_3967_exodus,,,1,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__flat_iroute__smartcity_v1__rf_3967_exodus__seed1__20260313_122001,exp_main_v1,flat_iroute,smartcity_v1,rf_3967_exodus,,,1,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__exact__smartcity_v1__rf_3967_exodus__seed2__20260313_120601,exp_main_v1,exact,smartcity_v1,rf_3967_exodus,,,2,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__flat_iroute__smartcity_v1__rf_3967_exodus__seed2__20260313_122101,exp_main_v1,flat_iroute,smartcity_v1,rf_3967_exodus,,,2,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__flood__smartcity_v1__rf_3967_exodus__seed2__20260313_121601,exp_main_v1,flood,smartcity_v1,rf_3967_exodus,,,2,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__oracle__smartcity_v1__rf_3967_exodus__seed2__20260313_121101,exp_main_v1,oracle,smartcity_v1,rf_3967_exodus,,,2,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__hiroute__smartcity_v1__rf_3967_exodus__seed2__20260313_122601,exp_main_v1,hiroute,smartcity_v1,rf_3967_exodus,,,2,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__exact__smartcity_v1__rf_3967_exodus__seed3__20260313_120701,exp_main_v1,exact,smartcity_v1,rf_3967_exodus,,,3,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__hiroute__smartcity_v1__rf_3967_exodus__seed3__20260313_122701,exp_main_v1,hiroute,smartcity_v1,rf_3967_exodus,,,3,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__oracle__smartcity_v1__rf_3967_exodus__seed3__20260313_121201,exp_main_v1,oracle,smartcity_v1,rf_3967_exodus,,,3,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
exp_main_v1__flood__smartcity_v1__rf_3967_exodus__seed3__20260313_121701,exp_main_v1,flood,smartcity_v1,rf_3967_exodus,,,3,55e2e2f,meets min run count and artifact completeness,2026-03-13T11:17:20Z
